index,genre,budget,gross,runtime,rating,score
291,Action,,9823934.0,110.0,PG,5.6
292,Comedy,,13111101.0,110.0,PG,6.2
293,Drama,,263635.0,110.0,R,6.5
294,Action,,2977706.0,108.0,R,6.3
295,Action,4000000.0,6328816.0,96.0,R,5.3
296,Comedy,10000000.0,3583513.0,117.0,R,5.7
297,Drama,,6668025.0,107.0,PG,5.7
298,Drama,,3700.0,121.0,,7.0
299,Sci-Fi,5000000.0,3792188.0,87.0,R,6.2
300,Action,5000000.0,6660333.0,90.0,R,5.6
301,Comedy,,7241180.0,90.0,R,6.2
302,Comedy,,143369.0,94.0,PG,6.2
303,Drama,10000000.0,8000000.0,107.0,PG,6.5
304,Drama,,1474249.0,97.0,R,5.9
305,Action,7000000.0,21134374.0,90.0,R,6.0
306,Comedy,,2914328.0,90.0,R,3.5
307,Comedy,13400000.0,2869638.0,103.0,R,4.7
308,Biography,,3723036.0,112.0,Not Rated,7.4
309,Action,,16894678.0,87.0,PG,5.7
310,Comedy,,23671186.0,97.0,R,5.8
311,Crime,,42914.0,97.0,PG,6.5
312,Drama,15000000.0,199078.0,108.0,PG,6.1
313,Crime,,3178542.0,108.0,R,4.4
314,Biography,,8693512.0,103.0,PG,6.8
315,Comedy,6000000.0,6062898.0,93.0,R,5.3
316,Comedy,,36299720.0,82.0,R,7.7
317,Animation,,78350.0,74.0,G,7.1
318,Crime,,12408066.0,121.0,R,5.1
319,Comedy,19000000.0,2279543.0,110.0,PG,3.9
320,Comedy,,6968359.0,108.0,PG,6.2
321,Drama,,3783329.0,109.0,G,7.2
322,Action,,3355948.0,98.0,R,6.1
323,Sci-Fi,,22440.0,106.0,Not Rated,5.8
324,Animation,,,78.0,Not Rated,6.8
325,Animation,,5124391.0,94.0,G,6.3
326,Crime,,,96.0,R,5.7
327,Comedy,10000.0,,98.0,R,3.8
328,Drama,,,80.0,PG,7.0
329,Comedy,435000.0,,90.0,PG,6.7
330,Comedy,,777087.0,106.0,R,6.8
331,Crime,25000000.0,65884703.0,170.0,R,8.3
332,Crime,10000000.0,25697647.0,91.0,PG,7.1
333,Action,32500000.0,475106177.0,131.0,PG,8.3
334,Comedy,6200000.0,63541777.0,99.0,R,6.8
335,Adventure,15000000.0,61399552.0,98.0,R,7.4
336,Comedy,15000000.0,90404800.0,116.0,R,7.5
337,Action,39000000.0,59950623.0,125.0,PG,5.0
338,Comedy,8000000.0,56399659.0,105.0,R,7.2
339,Drama,22000000.0,64892670.0,93.0,PG,4.7
340,Adventure,20500000.0,87987055.0,99.0,PG,3.7
341,Horror,9700000.0,21017849.0,110.0,R,6.7
342,Horror,350000.0,,84.0,R,6.3
343,Drama,4000000.0,92921203.0,95.0,R,6.2
344,Action,12000000.0,79567667.0,114.0,PG,7.1
345,Adventure,27000000.0,21192315.0,193.0,PG,7.8
346,Action,47000000.0,16916617.0,121.0,PG,6.1
347,Comedy,,24071666.0,102.0,R,4.9
348,Drama,10000000.0,20766616.0,103.0,R,7.2
349,Action,27500000.0,67893619.0,131.0,PG,6.5
350,Comedy,3500000.0,14049540.0,89.0,R,5.3
351,Comedy,350000.0,17343596.0,99.0,R,6.4
352,Crime,10000000.0,2494480.0,94.0,R,7.2
353,Horror,5952000.0,2120439.0,87.0,R,7.2
354,Comedy,8000000.0,108423749.0,132.0,PG,7.4
355,Horror,10000000.0,29450919.0,101.0,PG,6.5
356,Action,36000000.0,55432841.0,134.0,PG,6.2
357,Comedy,3300000.0,20653717.0,93.0,PG,7.9
358,Horror,5000000.0,21156152.0,93.0,R,6.1
359,Action,22000000.0,67642693.0,117.0,R,6.6
360,Drama,,5988322.0,97.0,R,6.7
361,Comedy,,64783827.0,91.0,PG,6.6
362,Action,22000000.0,42313354.0,109.0,R,6.4
363,Action,7500000.0,19910002.0,100.0,R,5.9
364,Crime,5000000.0,34725000.0,113.0,R,6.5
365,Comedy,,5899678.0,111.0,PG,7.4
366,Crime,,9190819.0,123.0,R,7.2
367,Biography,10000000.0,35615609.0,131.0,R,7.2
368,Drama,5600000.0,17233166.0,91.0,R,5.9
369,Drama,11000000.0,4218594.0,96.0,R,5.7
370,Comedy,,22587834.0,97.0,R,5.2
371,Drama,12000000.0,40218899.0,133.0,PG,6.6
372,Animation,1200000.0,760883.0,81.0,PG,6.6
373,Drama,,4786789.0,95.0,PG,6.9
374,Action,6500000.0,4300000.0,96.0,PG,6.0
375,Comedy,9000000.0,14949697.0,107.0,R,7.5
376,Drama,,55269.0,125.0,Not Rated,8.1
377,Comedy,,20307325.0,96.0,R,5.0
378,Action,,5678950.0,85.0,PG,3.5
379,Action,457000.0,11919250.0,80.0,R,4.6
380,Comedy,6500000.0,33759266.0,98.0,R,5.0
381,Fantasy,19000000.0,8400000.0,95.0,PG,6.8
382,Drama,,8443124.0,92.0,PG,7.4
383,Biography,12000000.0,6472990.0,103.0,R,6.7
384,Crime,15000000.0,15856028.0,128.0,R,6.7
385,Action,5000000.0,12232628.0,107.0,PG,6.3
386,Comedy,,29309766.0,95.0,R,6.3
387,Drama,,2306560.0,123.0,R,7.3
388,Comedy,7000000.0,1246141.0,100.0,R,4.9
389,Comedy,800000.0,2082215.0,80.0,R,4.7
390,Sci-Fi,15000000.0,10219460.0,106.0,PG,6.4
391,Comedy,,10353438.0,93.0,R,6.4
392,Action,3000000.0,17488564.0,94.0,R,5.7
393,Crime,4520000.0,7175592.0,101.0,R,6.3
394,Action,14500000.0,30503151.0,105.0,R,6.4
395,Comedy,,10375893.0,89.0,R,5.2
396,Horror,250000.0,4319001.0,93.0,R,5.2
397,Action,,13000000.0,96.0,PG,4.9
